Alpha Gain,Alpha Loss,Beta,Gamma,propB,propC
0.125,0.45,0.5,1.0,0.21539999999999998,0.7745999999999998
0.125,0.475,0.5,1.0,0.1803999999999998,0.8095999999999998
0.15,0.0,0.5,1.0,0.4309999999999999,0.5590000000000002
0.15,0.025,0.5,1.0,0.3893999999999999,0.6005999999999999
0.15,0.05,0.5,1.0,0.2581,0.7319
0.15,0.075,0.5,1.0,0.31870000000000004,0.6713
0.15,0.1,0.5,1.0,0.3323000000000002,0.6577000000000001
0.15,0.125,0.5,1.0,0.38080000000000014,0.6092000000000002
0.15,0.15,0.5,1.0,0.38470000000000015,0.6053000000000001
0.15,0.175,0.5,1.0,0.3708999999999999,0.6191000000000001
0.15,0.2,0.5,1.0,0.39969999999999983,0.5902999999999999
0.15,0.225,0.5,1.0,0.3840999999999998,0.6058999999999998
0.15,0.25,0.5,1.0,0.3367000000000001,0.6532999999999999
0.15,0.275,0.5,1.0,0.2811999999999999,0.7088000000000001
0.15,0.3,0.5,1.0,0.3237,0.6663000000000001
0.15,0.325,0.5,1.0,0.25660000000000005,0.7333999999999997
0.15,0.35,0.5,1.0,0.2281999999999998,0.7618000000000004
0.15,0.375,0.5,1.0,0.3006999999999999,0.6892999999999999
0.15,0.4,0.5,1.0,0.25889999999999985,0.7311000000000001
0.15,0.425,0.5,1.0,0.2714999999999999,0.7184999999999998
0.15,0.45,0.5,1.0,0.22289999999999993,0.7670999999999998
0.15,0.475,0.5,1.0,0.2526999999999999,0.7373000000000003
0.175,0.0,0.5,1.0,0.5496,0.4404000000000001
0.175,0.025,0.5,1.0,0.29700000000000004,0.693
0.175,0.05,0.5,1.0,0.3248,0.6652
0.175,0.075,0.5,1.0,0.2774,0.7125999999999999
0.175,0.1,0.5,1.0,0.30600000000000005,0.6839999999999999
0.175,0.125,0.5,1.0,0.35150000000000015,0.6384999999999998
0.175,0.15,0.5,1.0,0.3304999999999999,0.6595
0.175,0.175,0.5,1.0,0.36489999999999995,0.6250999999999999
0.175,0.2,0.5,1.0,0.32800000000000007,0.662
0.175,0.225,0.5,1.0,0.33399999999999996,0.6559999999999997
0.175,0.25,0.5,1.0,0.3177000000000001,0.6722999999999996
0.175,0.275,0.5,1.0,0.33260000000000006,0.6573999999999998
0.175,0.3,0.5,1.0,0.3346,0.6553999999999998
0.175,0.325,0.5,1.0,0.3435999999999999,0.6464
0.175,0.35,0.5,1.0,0.2998999999999999,0.6900999999999997
0.175,0.375,0.5,1.0,0.2434999999999998,0.7464999999999997
0.175,0.4,0.5,1.0,0.25579999999999997,0.7342
0.175,0.425,0.5,1.0,0.18149999999999988,0.8084999999999998
0.175,0.45,0.5,1.0,0.2266,0.7633999999999994
0.175,0.475,0.5,1.0,0.2028999999999998,0.7870999999999999
0.2,0.0,0.5,1.0,0.5037,0.48629999999999995
0.2,0.025,0.5,1.0,0.3595999999999999,0.6303999999999998
0.2,0.05,0.5,1.0,0.24259999999999998,0.7473999999999998
0.2,0.075,0.5,1.0,0.21739999999999993,0.7726000000000001
0.2,0.1,0.5,1.0,0.2936,0.6963999999999997
0.2,0.125,0.5,1.0,0.31829999999999986,0.6717
0.2,0.15,0.5,1.0,0.31999999999999995,0.6699999999999997
0.2,0.175,0.5,1.0,0.3335,0.6564999999999998
0.2,0.2,0.5,1.0,0.3667000000000001,0.6233000000000003
0.2,0.225,0.5,1.0,0.34659999999999996,0.6433999999999999
0.2,0.25,0.5,1.0,0.35899999999999993,0.6309999999999999
0.2,0.275,0.5,1.0,0.31379999999999997,0.6762
0.2,0.3,0.5,1.0,0.3296999999999998,0.6603000000000001
0.2,0.325,0.5,1.0,0.27969999999999984,0.7103
0.2,0.35,0.5,1.0,0.26049999999999984,0.7294999999999997
0.2,0.375,0.5,1.0,0.25019999999999987,0.7397999999999999
0.2,0.4,0.5,1.0,0.30619999999999986,0.6838
0.2,0.425,0.5,1.0,0.21829999999999994,0.7716999999999997
0.2,0.45,0.5,1.0,0.2222999999999999,0.7676999999999998
0.2,0.475,0.5,1.0,0.21229999999999993,0.7777
0.225,0.0,0.5,1.0,0.5648999999999998,0.4250999999999998
0.225,0.025,0.5,1.0,0.3745999999999999,0.6153999999999997
0.225,0.05,0.5,1.0,0.3344,0.6556000000000002
